1.5 1 2 165.749 140.683 0.184351 0.00124859
2.5 2 3 1.18984 0.990403 0.0907006 4.70341e-05
3.5 3 4 0.285756 0.277269 0.00125664 0.000616723
4.5 4 5 0.0117322 0.0110677 0.00490332 5.16664e-08
5.5 5 6 0.0072097 0.00700362 0.000780083 1.97226e-07
7 6 8 0.000978746 0.0008688 0.000349793 2.98872e-05
9 8 10 0.000112507 9.41277e-05 6.24511e-05 1.97668e-05
11 10 12 1.99973e-05 1.18566e-05 1.14226e-06 2.07447e-05
14 12 16 3.66471e-06 1.96906e-06 1.79242e-06 1.00081e-06
18 16 20 4.22078e-07 2.79414e-07 1.04283e-05 1.27273e-06
22 20 24 2.12227e-07 1.4169e-07 2.49259e-08 1.53767e-07
27 24 30 5.40228e-08 4.4247e-08 1.44243e-14 3.05027e-08
35 30 40 2.52147e-09 1.9238e-09 1.2623e-10 5.80784e-10
45 40 50 2.33841e-11 1.67621e-11 6.03333e-20 1.31687e-10
55 50 60 6.86759e-12 3.40618e-14 8.5966e-15 0
70 60 80 1.8132e-16 1.8129e-16 3.01666e-20 0
90 80 100 2.99023e-20 2.99023e-20 0 0
110 100 120 0 0 0 0
135 120 150 0 0 0 0
175 150 200 0 0 0 0
250 200 300 0 0 0 0
400 300 500 0 0 0 0
