#0 0.001 0.002 0.0035 0.005 0.0065 0.0085 0.01 0.012 0.016 0.02 0.025 0.03 0.04 0.05 0.07 0.09 0.12 0.15 0.2 0.25 0.35 0.45 0.55 0.65 0.8 1 
6 5 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8.5 7 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
12.5 10 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
32.5 15 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
